test_type,protocol,iteration,phase,duration_us
connection_phase,PVXS_PVA,25,search,2532
connection_phase,PVXS_PVA,25,tcp_connect,130
connection_phase,PVXS_PVA,25,validation,174
connection_phase,PVXS_PVA,25,create_channel,406
connection_phase,PVXS_PVA,25,total,3242
connection_phase,PVXS_PVA,26,search,2246
connection_phase,PVXS_PVA,26,tcp_connect,122
connection_phase,PVXS_PVA,26,validation,141
connection_phase,PVXS_PVA,26,create_channel,400
connection_phase,PVXS_PVA,26,total,2909
connection_phase,PVXS_PVA,27,search,6957
connection_phase,PVXS_PVA,27,tcp_connect,58
connection_phase,PVXS_PVA,27,validation,183
connection_phase,PVXS_PVA,27,create_channel,366
connection_phase,PVXS_PVA,27,total,7564
connection_phase,PVXS_PVA,28,search,3110
connection_phase,PVXS_PVA,28,tcp_connect,297
connection_phase,PVXS_PVA,28,validation,153
connection_phase,PVXS_PVA,28,create_channel,375
connection_phase,PVXS_PVA,28,total,3935
connection_phase,PVXS_PVA,29,search,1127
connection_phase,PVXS_PVA,29,tcp_connect,97
connection_phase,PVXS_PVA,29,validation,138
connection_phase,PVXS_PVA,29,create_channel,317
connection_phase,PVXS_PVA,29,total,1679
connection_phase,PVXS_PVA,30,search,2581
connection_phase,PVXS_PVA,30,tcp_connect,165
connection_phase,PVXS_PVA,30,validation,825
connection_phase,PVXS_PVA,30,create_channel,933
connection_phase,PVXS_PVA,30,total,4504
connection_phase,PVXS_PVA,31,search,5190
connection_phase,PVXS_PVA,31,tcp_connect,200
connection_phase,PVXS_PVA,31,validation,1998
connection_phase,PVXS_PVA,31,create_channel,962
connection_phase,PVXS_PVA,31,total,8350
connection_phase,PVXS_PVA,32,search,2007
connection_phase,PVXS_PVA,32,tcp_connect,130
connection_phase,PVXS_PVA,32,validation,133
connection_phase,PVXS_PVA,32,create_channel,303
connection_phase,PVXS_PVA,32,total,2573
connection_phase,PVXS_PVA,33,search,1954
connection_phase,PVXS_PVA,33,tcp_connect,61
connection_phase,PVXS_PVA,33,validation,176
connection_phase,PVXS_PVA,33,create_channel,376
connection_phase,PVXS_PVA,33,total,2567
connection_phase,PVXS_PVA,34,search,959
connection_phase,PVXS_PVA,34,tcp_connect,97
connection_phase,PVXS_PVA,34,validation,169
connection_phase,PVXS_PVA,34,create_channel,315
connection_phase,PVXS_PVA,34,total,1540
connection_phase,PVXS_PVA,35,search,870
connection_phase,PVXS_PVA,35,tcp_connect,128
connection_phase,PVXS_PVA,35,validation,110
connection_phase,PVXS_PVA,35,create_channel,241
connection_phase,PVXS_PVA,35,total,1349
connection_phase,PVXS_PVA,36,search,1734
connection_phase,PVXS_PVA,36,tcp_connect,61
connection_phase,PVXS_PVA,36,validation,408
connection_phase,PVXS_PVA,36,create_channel,338
connection_phase,PVXS_PVA,36,total,2541
connection_phase,PVXS_PVA,37,search,1920
connection_phase,PVXS_PVA,37,tcp_connect,68
connection_phase,PVXS_PVA,37,validation,87
connection_phase,PVXS_PVA,37,create_channel,386
connection_phase,PVXS_PVA,37,total,2461
connection_phase,PVXS_PVA,38,search,2582
connection_phase,PVXS_PVA,38,tcp_connect,58
connection_phase,PVXS_PVA,38,validation,188
connection_phase,PVXS_PVA,38,create_channel,263
connection_phase,PVXS_PVA,38,total,3091
connection_phase,PVXS_PVA,39,search,901
connection_phase,PVXS_PVA,39,tcp_connect,91
connection_phase,PVXS_PVA,39,validation,148
connection_phase,PVXS_PVA,39,create_channel,270
connection_phase,PVXS_PVA,39,total,1410
connection_phase,PVXS_PVA,40,search,1915
connection_phase,PVXS_PVA,40,tcp_connect,55
connection_phase,PVXS_PVA,40,validation,105
connection_phase,PVXS_PVA,40,create_channel,332
connection_phase,PVXS_PVA,40,total,2407
connection_phase,PVXS_PVA,41,search,1728
connection_phase,PVXS_PVA,41,tcp_connect,70
connection_phase,PVXS_PVA,41,validation,97
connection_phase,PVXS_PVA,41,create_channel,692
connection_phase,PVXS_PVA,41,total,2587
connection_phase,PVXS_PVA,42,search,3988
connection_phase,PVXS_PVA,42,tcp_connect,61
connection_phase,PVXS_PVA,42,validation,282
connection_phase,PVXS_PVA,42,create_channel,322
connection_phase,PVXS_PVA,42,total,4653
connection_phase,PVXS_PVA,43,search,2303
connection_phase,PVXS_PVA,43,tcp_connect,55
connection_phase,PVXS_PVA,43,validation,246
connection_phase,PVXS_PVA,43,create_channel,270
connection_phase,PVXS_PVA,43,total,2874
connection_phase,PVXS_PVA,44,search,3398
connection_phase,PVXS_PVA,44,tcp_connect,68
connection_phase,PVXS_PVA,44,validation,368
connection_phase,PVXS_PVA,44,create_channel,476
connection_phase,PVXS_PVA,44,total,4310
connection_phase,PVXS_PVA,45,search,3742
connection_phase,PVXS_PVA,45,tcp_connect,72
connection_phase,PVXS_PVA,45,validation,275
connection_phase,PVXS_PVA,45,create_channel,453
connection_phase,PVXS_PVA,45,total,4542
connection_phase,PVXS_PVA,46,search,1021
connection_phase,PVXS_PVA,46,tcp_connect,151
connection_phase,PVXS_PVA,46,validation,142
connection_phase,PVXS_PVA,46,create_channel,342
connection_phase,PVXS_PVA,46,total,1656
connection_phase,PVXS_PVA,47,search,6281
connection_phase,PVXS_PVA,47,tcp_connect,58
connection_phase,PVXS_PVA,47,validation,195
connection_phase,PVXS_PVA,47,create_channel,540
connection_phase,PVXS_PVA,47,total,7074
connection_phase,PVXS_PVA,48,search,1757
connection_phase,PVXS_PVA,48,tcp_connect,53
connection_phase,PVXS_PVA,48,validation,80
connection_phase,PVXS_PVA,48,create_channel,272
connection_phase,PVXS_PVA,48,total,2162
connection_phase,PVXS_PVA,49,search,2892
connection_phase,PVXS_PVA,49,tcp_connect,52
connection_phase,PVXS_PVA,49,validation,234
connection_phase,PVXS_PVA,49,create_channel,416
connection_phase,PVXS_PVA,49,total,3594
connection_phase,PVXS_PVA,50,search,944
connection_phase,PVXS_PVA,50,tcp_connect,152
connection_phase,PVXS_PVA,50,validation,111
connection_phase,PVXS_PVA,50,create_channel,315
connection_phase,PVXS_PVA,50,total,1522
connection_phase,SPVA,1,search,5090
connection_phase,SPVA,1,tcp_connect,5578
connection_phase,SPVA,1,validation,524
connection_phase,SPVA,1,create_channel,349
connection_phase,SPVA,1,total,11541
connection_phase,SPVA,2,search,1383
connection_phase,SPVA,2,tcp_connect,3808
connection_phase,SPVA,2,validation,404
connection_phase,SPVA,2,create_channel,374
connection_phase,SPVA,2,total,5969
connection_phase,SPVA,3,search,1396
connection_phase,SPVA,3,tcp_connect,4880
connection_phase,SPVA,3,validation,426
connection_phase,SPVA,3,create_channel,284
connection_phase,SPVA,3,total,6986
connection_phase,SPVA,4,search,1604
connection_phase,SPVA,4,tcp_connect,5011
connection_phase,SPVA,4,validation,575
connection_phase,SPVA,4,create_channel,283
connection_phase,SPVA,4,total,7473
connection_phase,SPVA,5,search,1515
connection_phase,SPVA,5,tcp_connect,5495
connection_phase,SPVA,5,validation,687
connection_phase,SPVA,5,create_channel,384
connection_phase,SPVA,5,total,8081
connection_phase,SPVA,6,search,1042
connection_phase,SPVA,6,tcp_connect,4587
connection_phase,SPVA,6,validation,682
connection_phase,SPVA,6,create_channel,359
connection_phase,SPVA,6,total,6670
connection_phase,SPVA,7,search,974
connection_phase,SPVA,7,tcp_connect,3433
connection_phase,SPVA,7,validation,483
connection_phase,SPVA,7,create_channel,294
connection_phase,SPVA,7,total,5184
connection_phase,SPVA,8,search,1125
connection_phase,SPVA,8,tcp_connect,4209
connection_phase,SPVA,8,validation,599
connection_phase,SPVA,8,create_channel,330
connection_phase,SPVA,8,total,6263
connection_phase,SPVA,9,search,1226
connection_phase,SPVA,9,tcp_connect,3087
connection_phase,SPVA,9,validation,401
connection_phase,SPVA,9,create_channel,304
connection_phase,SPVA,9,total,5018
connection_phase,SPVA,10,search,1230
connection_phase,SPVA,10,tcp_connect,3573
connection_phase,SPVA,10,validation,439
connection_phase,SPVA,10,create_channel,258
connection_phase,SPVA,10,total,5500
connection_phase,SPVA,11,search,1343
connection_phase,SPVA,11,tcp_connect,3895
connection_phase,SPVA,11,validation,613
connection_phase,SPVA,11,create_channel,311
connection_phase,SPVA,11,total,6162
connection_phase,SPVA,12,search,1079
connection_phase,SPVA,12,tcp_connect,2939
connection_phase,SPVA,12,validation,475
connection_phase,SPVA,12,create_channel,287
connection_phase,SPVA,12,total,4780
connection_phase,SPVA,13,search,1001
connection_phase,SPVA,13,tcp_connect,2996
connection_phase,SPVA,13,validation,411
connection_phase,SPVA,13,create_channel,485
connection_phase,SPVA,13,total,4893
connection_phase,SPVA,14,search,907
connection_phase,SPVA,14,tcp_connect,3423
connection_phase,SPVA,14,validation,378
connection_phase,SPVA,14,create_channel,276
connection_phase,SPVA,14,total,4984
connection_phase,SPVA,15,search,939
connection_phase,SPVA,15,tcp_connect,2962
connection_phase,SPVA,15,validation,360
connection_phase,SPVA,15,create_channel,423
connection_phase,SPVA,15,total,4684
connection_phase,SPVA,16,search,895
connection_phase,SPVA,16,tcp_connect,2829
connection_phase,SPVA,16,validation,433
connection_phase,SPVA,16,create_channel,421
connection_phase,SPVA,16,total,4578
connection_phase,SPVA,17,search,960
connection_phase,SPVA,17,tcp_connect,3528
connection_phase,SPVA,17,validation,557
connection_phase,SPVA,17,create_channel,301
connection_phase,SPVA,17,total,5346
connection_phase,SPVA,18,search,922
connection_phase,SPVA,18,tcp_connect,3015
connection_phase,SPVA,18,validation,268
connection_phase,SPVA,18,create_channel,170
connection_phase,SPVA,18,total,4375
connection_phase,SPVA,19,search,809
connection_phase,SPVA,19,tcp_connect,2840
connection_phase,SPVA,19,validation,450
connection_phase,SPVA,19,create_channel,381
connection_phase,SPVA,19,total,4480
connection_phase,SPVA,20,search,900
connection_phase,SPVA,20,tcp_connect,3842
connection_phase,SPVA,20,validation,380
connection_phase,SPVA,20,create_channel,260
connection_phase,SPVA,20,total,5382
connection_phase,SPVA,21,search,947
connection_phase,SPVA,21,tcp_connect,4328
connection_phase,SPVA,21,validation,392
connection_phase,SPVA,21,create_channel,317
connection_phase,SPVA,21,total,5984
connection_phase,SPVA,22,search,934
connection_phase,SPVA,22,tcp_connect,3511
connection_phase,SPVA,22,validation,356
connection_phase,SPVA,22,create_channel,365
connection_phase,SPVA,22,total,5166
connection_phase,SPVA,23,search,881
connection_phase,SPVA,23,tcp_connect,2880
connection_phase,SPVA,23,validation,375
connection_phase,SPVA,23,create_channel,330
connection_phase,SPVA,23,total,4466
connection_phase,SPVA,24,search,1097
connection_phase,SPVA,24,tcp_connect,3106
connection_phase,SPVA,24,validation,403
connection_phase,SPVA,24,create_channel,274
connection_phase,SPVA,24,total,4880
connection_phase,SPVA,25,search,1061
connection_phase,SPVA,25,tcp_connect,3456
connection_phase,SPVA,25,validation,392
connection_phase,SPVA,25,create_channel,306
connection_phase,SPVA,25,total,5215
connection_phase,SPVA,26,search,914
connection_phase,SPVA,26,tcp_connect,2816
connection_phase,SPVA,26,validation,368
connection_phase,SPVA,26,create_channel,235
connection_phase,SPVA,26,total,4333
connection_phase,SPVA,27,search,853
connection_phase,SPVA,27,tcp_connect,2916
connection_phase,SPVA,27,validation,359
connection_phase,SPVA,27,create_channel,230
connection_phase,SPVA,27,total,4358
connection_phase,SPVA,28,search,1084
connection_phase,SPVA,28,tcp_connect,5074
connection_phase,SPVA,28,validation,492
connection_phase,SPVA,28,create_channel,341
connection_phase,SPVA,28,total,6991
connection_phase,SPVA,29,search,1038
connection_phase,SPVA,29,tcp_connect,2842
connection_phase,SPVA,29,validation,617
connection_phase,SPVA,29,create_channel,356
connection_phase,SPVA,29,total,4853
connection_phase,SPVA,30,search,1034
connection_phase,SPVA,30,tcp_connect,3324
connection_phase,SPVA,30,validation,405
connection_phase,SPVA,30,create_channel,317
connection_phase,SPVA,30,total,5080
connection_phase,SPVA,31,search,962
connection_phase,SPVA,31,tcp_connect,3019
connection_phase,SPVA,31,validation,338
connection_phase,SPVA,31,create_channel,249
connection_phase,SPVA,31,total,4568
connection_phase,SPVA,32,search,942
connection_phase,SPVA,32,tcp_connect,3596
connection_phase,SPVA,32,validation,533
connection_phase,SPVA,32,create_channel,311
connection_phase,SPVA,32,total,5382
connection_phase,SPVA,33,search,954
connection_phase,SPVA,33,tcp_connect,3772
connection_phase,SPVA,33,validation,490
connection_phase,SPVA,33,create_channel,308
connection_phase,SPVA,33,total,5524
connection_phase,SPVA,34,search,986
connection_phase,SPVA,34,tcp_connect,3332
connection_phase,SPVA,34,validation,386
connection_phase,SPVA,34,create_channel,268
connection_phase,SPVA,34,total,4972
connection_phase,SPVA,35,search,927
connection_phase,SPVA,35,tcp_connect,2925
connection_phase,SPVA,35,validation,361
connection_phase,SPVA,35,create_channel,268
connection_phase,SPVA,35,total,4481
connection_phase,SPVA,36,search,835
connection_phase,SPVA,36,tcp_connect,2775
connection_phase,SPVA,36,validation,343
