protocol,payload_mode,subscribers,payload_bytes,topology,iteration,updates_per_second,per_sub_updates_per_second,total_updates,drops,errors,duration_seconds
PVA,raw,1,1,loopback,1,23146.7,23146.7,69451,1,0,3.00047
PVA,raw,1,1,loopback,2,22088.7,22088.7,66298,2,0,3.00145
PVA,raw,1,1,loopback,3,2464.19,2464.19,7399,0,0,3.0026
PVA,raw,1000,1,loopback,1,260899,260.899,783999,0,0,3.00499
PVA,raw,1000,1,loopback,2,245268,245.268,736923,0,0,3.00457
PVA,raw,1000,1,loopback,3,240365,240.365,722000,0,0,3.00376
PVA,raw,1,100,loopback,1,2423.6,2423.6,7283,0,0,3.00503
PVA,raw,1,100,loopback,2,20417.2,20417.2,61354,11,0,3.00501
PVA,raw,1,100,loopback,3,21308.8,21308.8,63976,2,0,3.00233
PVA,raw,1000,100,loopback,1,229191,229.191,688702,0,0,3.00493
PVA,raw,1000,100,loopback,2,245699,245.699,737828,0,0,3.00298
PVA,raw,1000,100,loopback,3,225289,225.289,676708,0,0,3.00373
PVA,raw,1,10000,loopback,1,16626.7,16626.7,49923,0,0,3.00259
PVA,raw,1,10000,loopback,2,8334.54,8334.54,25031,8,0,3.00329
PVA,raw,1,10000,loopback,3,22808.5,22808.5,68432,0,0,3.00028
PVA,raw,1000,10000,loopback,1,72128.9,72.1289,216675,300,0,3.004
PVA,raw,1000,10000,loopback,2,66971.2,66.9712,201115,14841,0,3.00301
PVA,raw,1000,10000,loopback,3,69602.8,69.6028,209041,10093,0,3.00334
PVA,raw,1,100000,loopback,1,8983.22,8983.22,26977,6,0,3.00304
PVA,raw,1,100000,loopback,2,9467.33,9467.33,28442,0,0,3.00423
PVA,raw,1,100000,loopback,3,6752.06,6752.06,20290,17,0,3.00501
PVA,raw,1000,100000,loopback,1,9499.66,9.49966,28542,172811,0,3.00453
PVA,raw,1000,100000,loopback,2,12014.4,12.0144,36085,172459,0,3.00347
PVA,raw,1000,100000,loopback,3,12413.4,12.4134,37283,172737,0,3.00345
SPVA,raw,1,1,loopback,1,2187.25,2187.25,6567,2,0,3.0024
SPVA,raw,1,1,loopback,2,2344.67,2344.67,7040,0,0,3.00255
SPVA,raw,1,1,loopback,3,11263.9,11263.9,33794,3,0,3.00022
SPVA,raw,1000,1,loopback,1,58699.9,58.6999,176131,37688,0,3.00053
SPVA,raw,1000,1,loopback,2,59202.1,59.2021,177811,40661,0,3.00346
SPVA,raw,1000,1,loopback,3,59218,59.218,177744,36244,0,3.00152
SPVA,raw,1,100,loopback,1,19641.7,19641.7,58927,0,0,3.0001
SPVA,raw,1,100,loopback,2,7905.85,7905.85,23740,24,0,3.00284
SPVA,raw,1,100,loopback,3,2587.78,2587.78,7770,0,0,3.00257
SPVA,raw,1000,100,loopback,1,59612.2,59.6122,179047,38540,0,3.00353
SPVA,raw,1000,100,loopback,2,57332,57.332,172286,43999,0,3.00506
SPVA,raw,1000,100,loopback,3,54113.3,54.1133,162590,49564,0,3.00462
SPVA,raw,1,10000,loopback,1,13788.6,13788.6,41366,19,0,3.00002
SPVA,raw,1,10000,loopback,2,8968.33,8968.33,26948,8,0,3.0048
SPVA,raw,1,10000,loopback,3,2713.82,2713.82,8144,0,0,3.00093
SPVA,raw,1000,10000,loopback,1,20246.5,20.2465,60782,146571,0,3.0021
SPVA,raw,1000,10000,loopback,2,21836,21.836,65533,143500,0,3.00115
SPVA,raw,1000,10000,loopback,3,22629.2,22.6292,68001,139602,0,3.00501
SPVA,raw,1,100000,loopback,1,3487.92,3487.92,10471,15,0,3.00207
SPVA,raw,1,100000,loopback,2,3801.47,3801.47,11407,0,0,3.00068
SPVA,raw,1,100000,loopback,3,3369.7,3369.7,10126,0,0,3.00501
SPVA,raw,1000,100000,loopback,1,3748.31,3.74831,11256,190755,0,3.00295
SPVA,raw,1000,100000,loopback,2,3681.49,3.68149,11063,189829,0,3.00503
SPVA,raw,1000,100000,loopback,3,3700.05,3.70005,11113,193368,0,3.00347
SPVA_CERTMON,raw,1,1,loopback,1,8147.54,8147.54,24447,0,0,3.00054
