protocol,payload_mode,subscribers,payload_bytes,topology,iteration,updates_per_second,per_sub_updates_per_second,total_updates,drops,errors,duration_seconds
SPVA_CERTMON,raw,1,100000,loopback,4,3887.18,3887.18,11681,0,0,3.00501
SPVA_CERTMON,raw,1,100000,loopback,5,4072.02,4072.02,12227,0,0,3.00269
SPVA_CERTMON,raw,10,100000,loopback,1,3829.6,382.96,11508,0,0,3.00501
SPVA_CERTMON,raw,10,100000,loopback,2,3901.88,390.188,11717,0,0,3.00291
SPVA_CERTMON,raw,10,100000,loopback,3,3845.98,384.598,11548,0,0,3.00262
SPVA_CERTMON,raw,10,100000,loopback,4,4209.62,420.962,12645,0,0,3.00383
SPVA_CERTMON,raw,10,100000,loopback,5,3842.58,384.258,11547,0,0,3.00501
SPVA_CERTMON,raw,100,100000,loopback,1,3534.88,35.3488,10620,11857,0,3.00435
SPVA_CERTMON,raw,100,100000,loopback,2,3701.48,37.0148,11123,11516,0,3.00501
SPVA_CERTMON,raw,100,100000,loopback,3,3854.58,38.5458,11576,10857,0,3.00318
SPVA_CERTMON,raw,100,100000,loopback,4,3585.21,35.8521,10758,11717,0,3.00066
SPVA_CERTMON,raw,100,100000,loopback,5,3652.23,36.5223,10975,11495,0,3.00501
SPVA_CERTMON,raw,500,100000,loopback,1,3700.49,7.40097,11120,98180,0,3.00501
SPVA_CERTMON,raw,500,100000,loopback,2,3861.85,7.7237,11605,96865,0,3.00504
SPVA_CERTMON,raw,500,100000,loopback,3,3631.94,7.26387,10902,93993,0,3.0017
SPVA_CERTMON,raw,500,100000,loopback,4,3638.22,7.27644,10933,96743,0,3.00504
SPVA_CERTMON,raw,500,100000,loopback,5,3559.08,7.11817,10686,92534,0,3.00246
SPVA_CERTMON,raw,1000,100000,loopback,1,3800.79,3.80079,11419,192421,0,3.00437
SPVA_CERTMON,raw,1000,100000,loopback,2,3788.15,3.78815,11377,190364,0,3.00332
SPVA_CERTMON,raw,1000,100000,loopback,3,3810.16,3.81016,11447,190249,0,3.00434
SPVA_CERTMON,raw,1000,100000,loopback,4,3789.79,3.78979,11373,191824,0,3.00096
SPVA_CERTMON,raw,1000,100000,loopback,5,3808.46,3.80846,11428,192036,0,3.00069
