test_type,protocol,iteration,phase,duration_us
connection_phase,PVA,1,search,909
connection_phase,PVA,1,tcp_connect,106
connection_phase,PVA,1,validation,140
connection_phase,PVA,1,create_channel,232
connection_phase,PVA,1,total,1387
connection_phase,PVA,2,search,946
connection_phase,PVA,2,tcp_connect,142
connection_phase,PVA,2,validation,168
connection_phase,PVA,2,create_channel,335
connection_phase,PVA,2,total,1591
connection_phase,PVA,3,search,996
connection_phase,PVA,3,tcp_connect,90
connection_phase,PVA,3,validation,128
connection_phase,PVA,3,create_channel,284
connection_phase,PVA,3,total,1498
connection_phase,PVA,4,search,1099
connection_phase,PVA,4,tcp_connect,133
connection_phase,PVA,4,validation,126
connection_phase,PVA,4,create_channel,309
connection_phase,PVA,4,total,1667
connection_phase,PVA,5,search,870
connection_phase,PVA,5,tcp_connect,104
connection_phase,PVA,5,validation,116
connection_phase,PVA,5,create_channel,267
connection_phase,PVA,5,total,1357
connection_phase,PVA,6,search,922
connection_phase,PVA,6,tcp_connect,124
connection_phase,PVA,6,validation,117
connection_phase,PVA,6,create_channel,323
connection_phase,PVA,6,total,1486
connection_phase,PVA,7,search,1040
connection_phase,PVA,7,tcp_connect,113
connection_phase,PVA,7,validation,126
connection_phase,PVA,7,create_channel,276
connection_phase,PVA,7,total,1555
connection_phase,PVA,8,search,992
connection_phase,PVA,8,tcp_connect,157
connection_phase,PVA,8,validation,123
connection_phase,PVA,8,create_channel,338
connection_phase,PVA,8,total,1610
connection_phase,PVA,9,search,1287
connection_phase,PVA,9,tcp_connect,360
connection_phase,PVA,9,validation,368
connection_phase,PVA,9,create_channel,350
connection_phase,PVA,9,total,2365
connection_phase,PVA,10,search,2017
connection_phase,PVA,10,tcp_connect,80
connection_phase,PVA,10,validation,333
connection_phase,PVA,10,create_channel,395
connection_phase,PVA,10,total,2825
connection_phase,PVA,11,search,4393
connection_phase,PVA,11,tcp_connect,55
connection_phase,PVA,11,validation,181
connection_phase,PVA,11,create_channel,323
connection_phase,PVA,11,total,4952
connection_phase,PVA,12,search,2804
connection_phase,PVA,12,tcp_connect,64
connection_phase,PVA,12,validation,248
connection_phase,PVA,12,create_channel,470
connection_phase,PVA,12,total,3586
connection_phase,PVA,13,search,3206
connection_phase,PVA,13,tcp_connect,195
connection_phase,PVA,13,validation,112
connection_phase,PVA,13,create_channel,835
connection_phase,PVA,13,total,4348
connection_phase,PVA,14,search,1769
connection_phase,PVA,14,tcp_connect,65
connection_phase,PVA,14,validation,198
connection_phase,PVA,14,create_channel,673
connection_phase,PVA,14,total,2705
connection_phase,PVA,15,search,2475
connection_phase,PVA,15,tcp_connect,52
connection_phase,PVA,15,validation,362
connection_phase,PVA,15,create_channel,485
connection_phase,PVA,15,total,3374
connection_phase,PVA,16,search,1671
connection_phase,PVA,16,tcp_connect,57
connection_phase,PVA,16,validation,171
connection_phase,PVA,16,create_channel,328
connection_phase,PVA,16,total,2227
connection_phase,PVA,17,search,3487
connection_phase,PVA,17,tcp_connect,59
connection_phase,PVA,17,validation,216
connection_phase,PVA,17,create_channel,334
connection_phase,PVA,17,total,4096
connection_phase,PVA,18,search,1924
connection_phase,PVA,18,tcp_connect,66
connection_phase,PVA,18,validation,172
connection_phase,PVA,18,create_channel,422
connection_phase,PVA,18,total,2584
connection_phase,PVA,19,search,1809
connection_phase,PVA,19,tcp_connect,53
connection_phase,PVA,19,validation,180
connection_phase,PVA,19,create_channel,529
connection_phase,PVA,19,total,2571
connection_phase,PVA,20,search,1855
connection_phase,PVA,20,tcp_connect,64
connection_phase,PVA,20,validation,211
connection_phase,PVA,20,create_channel,674
connection_phase,PVA,20,total,2804
connection_phase,PVA,21,search,5356
connection_phase,PVA,21,tcp_connect,66
